pool_id,source_file,row_id,trial_key,citation_id,original_pmid,erratum_pmids,populated_cells
SEVERE_PEDIATRIC_FEBRILE_AFRICA_REVIEW,SEVERE_PEDIATRIC_FEBRILE_AFRICA_REVIEW.html,SEVERE_PEDIATRIC_FEBRILE_AFRICA_REVIEW:LEGACY-ISRCTN-50258054-AQUAMAT,LEGACY-ISRCTN-50258054-AQUAMAT,PMID21062666,21062666,,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se
SIRUKUMAB_ARTHRITIS_RHEUMATOID_AUTO_REVIEW,SIRUKUMAB_ARTHRITIS_RHEUMATOID_AUTO_REVIEW.html,SIRUKUMAB_ARTHRITIS_RHEUMATOID_AUTO_REVIEW:NCT01606761,NCT01606761,PMID28215362,28215362,28534752,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
SPONDYLOARTHRITIS_REVIEW,SPONDYLOARTHRITIS_REVIEW.html,SPONDYLOARTHRITIS_REVIEW:NCT03928704,NCT03928704,PMID36649967,36649967,37402489,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
TEPOTINIB_LUNG_AUTO_REVIEW,TEPOTINIB_LUNG_AUTO_REVIEW.html,TEPOTINIB_LUNG_AUTO_REVIEW:NCT01982955,NCT01982955,PMID32479794,32479794,32563277,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
TERIFLUNOMIDE_MS_AUTO_REVIEW,TERIFLUNOMIDE_MS_AUTO_REVIEW.html,TERIFLUNOMIDE_MS_AUTO_REVIEW:NCT04338061,NCT04338061,PMID39307151,39307151,41864240,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
TIRZEPATIDE_NASH_AUTO_REVIEW,TIRZEPATIDE_NASH_AUTO_REVIEW.html,TIRZEPATIDE_NASH_AUTO_REVIEW:NCT04166773,NCT04166773,PMID38856224,38856224,41880634,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;trial_true_n
TIRZEPATIDE_OBESITY_REVIEW,TIRZEPATIDE_OBESITY_REVIEW.html,TIRZEPATIDE_OBESITY_REVIEW:NCT04657016,NCT04657016,PMID37840095,37840095,38409593,n_c;n_t;outcome;reported_n;trial_true_n
TIRZEPATIDE_T2D_REVIEW,TIRZEPATIDE_T2D_REVIEW.html,TIRZEPATIDE_T2D_REVIEW:NCT03954834,NCT03954834,PMID34186022,34186022,34274062,n_c;n_t;outcome;reported_n;trial_true_n
UC_BIOLOGICS_NMA_REVIEW,UC_BIOLOGICS_NMA_REVIEW.html,UC_BIOLOGICS_NMA_REVIEW:NCT03518086,NCT03518086,PMID37379135,37379135,37611136,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
VIASKIN_PEANUT_AUTO_REVIEW,VIASKIN_PEANUT_AUTO_REVIEW.html,VIASKIN_PEANUT_AUTO_REVIEW:NCT02223182,NCT02223182,PMID38407859,38407859,38557707;38739378,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
