file,nct,name,our_hr,aact_param_type,aact_value,aact_lci,aact_uci,aact_method,verdict,notes
AFICAMTEN_HCM_REVIEW.html,NCT05186818,SEQUOIA-HCM,2.06,Mean Difference (Final Values),1.74,1.04,2.44,ANCOVA,OK,
AGYW_HIV_PREP_NMA_REVIEW.html,NCT02732730,"HPTN 082 (oral PrEP, AGYW)",1.88,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
AGYW_HIV_PREP_NMA_REVIEW.html,NCT01386294,FACTS-001 (vaginal tenofovir g,0.98,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ALK_NSCLC_NMA_REVIEW.html,NCT02075840,ALEX,0.47,"Hazard Ratio, stratified",0.47,0.34,0.65,Log Rank,OK,
ALK_NSCLC_NMA_REVIEW.html,NCT02737501,ALTA-1L,0.49,Hazard Ratio (HR),0.481,0.35,0.66,Log Rank,OK,
ALK_NSCLC_NMA_REVIEW.html,NCT03052608,CROWN,0.28,Hazard Ratio (HR),0.28,0.191,0.413,one-sided stratified log-rank,OK,
ALK_NSCLC_NMA_REVIEW.html,NCT02767804,eXalt3,0.51,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03570749,BRAVE-AA1,7.6,Odds Ratio (OR),5.75,2.75,12.02,"Regression, Logistic",OK,
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03899259,BRAVE-AA2,10.66,Odds Ratio (OR),7.86,2.79,22.17,"Regression, Logistic",OK,
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03732807,ALLEGRO-2b/3,35.27,Estimate of difference,29.11,21.17,37.91,Miettinen and Nurminen method,OK,
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04518995,THRIVE-AA1,45.83,Risk Difference (RD),0.28,0.23,0.33,Mantel Haenszel,OK,
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04797650,THRIVE-AA2,36.86,Risk Difference (RD),0.31,0.25,0.37,Mantel Haenszel,OK,
ANIFROLUMAB_SLE_REVIEW.html,NCT02446912,TULIP-1,1.55,Mean Difference (Final Values),-4.2,-14.2,5.8,Cochran-Mantel-Haenszel,DEFECT,"SIGN_DIFFER(our=1.55,aact=-4.2)"
ANIFROLUMAB_SLE_REVIEW.html,NCT02446899,TULIP-2,1.99,Mean Difference (Final Values),16.3,6.3,26.3,Cochran-Mantel-Haenszel,OK,
ANTI_CD20_MS_NMA_REVIEW.html,NCT01247324,OPERA I,0.54,Rate Ratio,0.536,0.4,0.719,Negative Binomial Model,OK,
ANTI_CD20_MS_NMA_REVIEW.html,NCT01412333,OPERA II,0.53,Rate Ratio,0.532,0.397,0.714,Negative Binomial Model,OK,
ANTI_CD20_MS_NMA_REVIEW.html,NCT02792218,ASCLEPIOS I,0.49,rate ratio,0.495,0.375,0.655,negative binomial regression model,OK,
ANTI_CD20_MS_NMA_REVIEW.html,NCT02792231,ASCLEPIOS II,0.51,rate ratio,0.416,0.309,0.56,negative binomial regression model,OK,
ANTI_CD20_MS_NMA_REVIEW.html,NCT03277261,ULTIMATE I,0.41,Rate Ratio (Ublituximab/Teriflunomide),0.406,0.268,0.615,Negative Binomial Model,OK,
ANTI_CD20_MS_NMA_REVIEW.html,NCT03277248,ULTIMATE II,0.41,Rate Ratio (Ublituximab / Teriflunomide),0.509,0.33,0.784,Negative Binomial Model,OK,
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03887455,Clarity AD,-0.45,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT04437511,TRAILBLAZER-ALZ 2,-0.7,LS Mean change difference (Final Values),2.92,1.508,4.331,Mixed Models Analysis,DEFECT,"SIGN_DIFFER(our=-0.7,aact=2.92)"
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02477800,EMERGE,-0.39,Difference from Placebo,0.11,-0.469,0.403,MMRM Model,DEFECT,"SIGN_DIFFER(our=-0.39,aact=0.11)"
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02484547,ENGAGE,0.03,Difference,-0.26,-0.569,0.041,MMRM,OK,
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03444870,GRADUATE I,-0.31,Difference in adjusted mean,-0.31,-0.66,0.05,ANCOVA,OK,
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03443973,GRADUATE II,-0.19,Difference in Adjusted mean,-0.19,-0.55,0.17,ANCOVA,OK,
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT01900665,EXPEDITION 3,-0.1,Mean Difference (Final Values),-0.8,-1.73,0.14,Mixed Models Analysis,OK,
ANTIAMYLOID_AD_REVIEW.html,NCT02484547,ENGAGE,1.03,Difference,-0.26,-0.569,0.041,MMRM,DEFECT,"SIGN_DIFFER(our=1.03,aact=-0.26)"
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00509795,VIEW-1,0.5,Risk Difference (RD),-0.7,-4.4,3.1,,DEFECT,"SIGN_DIFFER(our=0.5,aact=-0.7)"
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00637377,VIEW-2,0.6,Risk Difference (RD),-1.2,-4.86,2.46,,DEFECT,"SIGN_DIFFER(our=0.6,aact=-1.2)"
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823287,TENAYA,0.7,Adjusted mean difference,0.7,-1.1,2.5,,OK,
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823300,LUCERNE,0.5,Adjusted mean difference,0.0,-1.7,1.8,,OK,
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT04423718,PULSAR,1.0,Difference in LS means,-0.97,-2.87,0.92,Mixed Models Analysis,DEFECT,"SIGN_DIFFER(our=1.0,aact=-0.97)"
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02307682,HAWK,-0.2,Least Squares Mean Difference,-0.6,-2.5,1.3,ANOVA,OK,
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02434328,HARRIER,0.7,Least Squares Mean Difference,-0.7,-2.4,1.0,ANOVA,DEFECT,"SIGN_DIFFER(our=0.7,aact=-0.7)"
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00593450,CATT,-0.5,Mean Difference (Net),-0.5,-3.9,2.9,ANOVA,OK,
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00056836,MARINA,17.6,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00061594,ANCHOR,20.8,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ARPI_mHSPC_REVIEW.html,NCT02677896,ARCHES,0.66,Cox hazard ratio,0.39,0.3,0.5,Log Rank,OK,
ARPI_mHSPC_REVIEW.html,NCT02446405,ENZAMET,0.67,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
